ENGINE,CHECKSUM,DATA_FREE,VERSION,CHECK_TIME,ROW_FORMAT,TABLE_NAME,TABLE_ROWS,TABLE_TYPE,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,TEMPORARY,INDEX_LENGTH,TABLE_SCHEMA,TABLE_CATALOG,TABLE_COMMENT,AUTO_INCREMENT,AVG_ROW_LENGTH,CREATE_OPTIONS,MAX_DATA_LENGTH,TABLE_COLLATION,MAX_INDEX_LENGTH
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,utf8_unicode_ci,u206194013_ICOER02MAR20,BASE TABLE,10,16384,0,<blank>,<blank>,0,N,<blank>,30,67,546,0,Dynamic,recruiters,def
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,utf8_unicode_ci,u206194013_ICOER02MAR20,BASE TABLE,10,16384,0,<blank>,<blank>,0,N,<blank>,0,1,0,0,Dynamic,slider,def
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,utf8_unicode_ci,u206194013_ICOER02MAR20,BASE TABLE,10,16384,0,<blank>,<blank>,0,N,<blank>,10,16,1638,0,Dynamic,testimonials_details,def
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,utf8_unicode_ci,u206194013_ICOER02MAR20,BASE TABLE,N,65536,0,10,<blank>,0,2021-10-28 06:38:53,<blank>,372,373,176,0,Dynamic,admission_enquiry,def
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,latin1_swedish_ci,u206194013_ICOER02MAR20,BASE TABLE,10,16384,0,<blank>,<blank>,0,N,<blank>,7,8,2340,0,Dynamic,department_cover_image,def
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,latin1_swedish_ci,u206194013_ICOER02MAR20,BASE TABLE,10,81920,0,<blank>,<blank>,0,N,<blank>,202,203,405,0,Dynamic,areaofinterest,def
0,<blank>,InnoDB,<blank>,2021-10-25 12:06:22,utf8_unicode_ci,u206194013_ICOER02MAR20,BASE TABLE,10,1589248,0,<blank>,<blank>,0,N,<blank>,11453,11824,138,2097152,Dynamic,admission_enquiry1,def
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,utf8_unicode_ci,u206194013_ICOER02MAR20,BASE TABLE,N,16384,0,10,<blank>,0,2021-10-28 06:52:08,<blank>,0,2,0,0,Dynamic,view_count,def
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,utf8_unicode_ci,u206194013_ICOER02MAR20,BASE TABLE,10,16384,0,<blank>,<blank>,0,N,<blank>,2,3,8192,0,Dynamic,drives,def
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,utf8_unicode_ci,u206194013_ICOER02MAR20,BASE TABLE,10,16384,0,<blank>,<blank>,0,N,<blank>,0,1,0,0,Dynamic,drive_registration,def
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,latin1_swedish_ci,u206194013_ICOER02MAR20,BASE TABLE,10,16384,0,<blank>,<blank>,0,N,<blank>,2,14,8192,0,Dynamic,student_verification,def
0,<blank>,InnoDB,<blank>,2021-10-25 12:06:22,utf8_unicode_ci,u206194013_ICOER02MAR20,BASE TABLE,N,2637824,0,10,<blank>,0,2021-10-28 05:01:26,<blank>,6905,6900,382,4194304,Dynamic,enquiry_entries,def
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,latin1_swedish_ci,u206194013_ICOER02MAR20,BASE TABLE,10,16384,0,<blank>,<blank>,0,N,<blank>,0,1,0,0,Dynamic,event_photos,def
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,latin1_swedish_ci,u206194013_ICOER02MAR20,BASE TABLE,10,16384,0,<blank>,<blank>,0,N,<blank>,0,1,0,0,Dynamic,extra_curricular_activities,def
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,latin1_swedish_ci,u206194013_ICOER02MAR20,BASE TABLE,10,16384,0,<blank>,<blank>,0,N,<blank>,146,147,112,0,Dynamic,otheractivities,def
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,utf8_unicode_ci,u206194013_ICOER02MAR20,BASE TABLE,10,49152,0,<blank>,<blank>,0,N,<blank>,124,221,396,0,Dynamic,department_wise_faculty_info,def
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,utf8_unicode_ci,u206194013_ICOER02MAR20,BASE TABLE,10,49152,0,<blank>,<blank>,0,N,<blank>,127,221,387,0,Dynamic,department_wise_faculty_info1,def
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,utf8_unicode_ci,u206194013_ICOER02MAR20,BASE TABLE,10,16384,0,<blank>,<blank>,0,N,<blank>,13,24,1260,0,Dynamic,news_ticker1,def
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,utf8_unicode_ci,u206194013_ICOER02MAR20,BASE TABLE,10,16384,0,<blank>,<blank>,0,N,<blank>,13,15,1260,0,Dynamic,news_ticker,def
0,<blank>,InnoDB,<blank>,2021-10-21 20:49:46,utf8_unicode_ci,u206194013_ICOER02MAR20,BASE TABLE,10,16384,0,<blank>,<blank>,0,N,<blank>,5,10,3276,0,Dynamic,departmental_head_emails,def

