XA,ENGINE,COMMENT,SUPPORT,SAVEPOINTS,TRANSACTIONS
NO,MEMORY,"Hash based, stored in memory, useful for temporary tables",YES,NO,NO
NO,CSV,Stores tables as CSV files,YES,NO,NO
NO,Aria,Crash-safe tables with MyISAM heritage. Used for internal temporary tables and privilege tables,YES,NO,NO
NO,MRG_MyISAM,Collection of identical MyISAM tables,YES,NO,NO
NO,MyISAM,Non-transactional engine with good performance and small data footprint,YES,NO,NO
NO,SEQUENCE,Generated tables filled with sequential values,YES,YES,YES
YES,InnoDB,"Supports transactions, row-level locking, foreign keys and encryption for tables",DEFAULT,YES,YES
NO,PERFORMANCE_SCHEMA,Performance Schema,YES,NO,NO

