VARIABLE_NAME,VARIABLE_VALUE
COM_SHOW_STORAGE_ENGINES,0
COM_SHOW_TABLE_STATUS,0
COM_SHOW_TABLES,0
COM_SHOW_TRIGGERS,0
COM_SHOW_VARIABLES,0
COM_SHOW_WARNINGS,0
COM_SHUTDOWN,0
COM_SIGNAL,0
COM_START_ALL_SLAVES,0
COM_START_SLAVE,0
COM_STMT_CLOSE,0
COM_STMT_EXECUTE,0
COM_STMT_FETCH,0
COM_STMT_PREPARE,0
COM_STMT_REPREPARE,0
COM_STMT_RESET,0
COM_STMT_SEND_LONG_DATA,0
COM_STOP_ALL_SLAVES,0
COM_STOP_SLAVE,0
COM_TRUNCATE,0
COM_UNINSTALL_PLUGIN,0
COM_UNLOCK_TABLES,0
COM_UPDATE,0
COM_UPDATE_MULTI,0
COM_XA_COMMIT,0
COM_XA_END,0
COM_XA_PREPARE,0
COM_XA_RECOVER,0
COM_XA_ROLLBACK,0
COM_XA_START,0
COMPRESSION,OFF
CONNECTION_ERRORS_ACCEPT,0
CONNECTION_ERRORS_INTERNAL,0
CONNECTION_ERRORS_MAX_CONNECTIONS,0
CONNECTION_ERRORS_PEER_ADDRESS,0
CONNECTION_ERRORS_SELECT,0
CONNECTION_ERRORS_TCPWRAP,0
CONNECTIONS,20450373
CPU_TIME,0.000426
CREATED_TMP_DISK_TABLES,1
CREATED_TMP_FILES,12795
CREATED_TMP_TABLES,2
DELAYED_ERRORS,0
DELAYED_INSERT_THREADS,0
DELAYED_WRITES,0
DELETE_SCAN,0
EMPTY_QUERIES,0
ENABLE_GOVERNOR,2
EXECUTED_EVENTS,0
EXECUTED_TRIGGERS,0
FEATURE_APPLICATION_TIME_PERIODS,0
FEATURE_CHECK_CONSTRAINT,98
FEATURE_CUSTOM_AGGREGATE_FUNCTIONS,0
FEATURE_DELAY_KEY_WRITE,0
FEATURE_DYNAMIC_COLUMNS,0
FEATURE_FULLTEXT,0
FEATURE_GIS,0
FEATURE_INSERT_RETURNING,0
FEATURE_INVISIBLE_COLUMNS,0
FEATURE_JSON,0
FEATURE_LOCALE,0
FEATURE_SUBQUERY,0
FEATURE_SYSTEM_VERSIONING,0
FEATURE_TIMEZONE,0
FEATURE_TRIGGER,0
FEATURE_WINDOW_FUNCTIONS,0
FEATURE_XML,0
HANDLER_COMMIT,0
HANDLER_DELETE,0
HANDLER_DISCOVER,0
HANDLER_EXTERNAL_LOCK,0
HANDLER_ICP_ATTEMPTS,0
HANDLER_ICP_MATCH,0
HANDLER_MRR_INIT,0
HANDLER_MRR_KEY_REFILLS,0
HANDLER_MRR_ROWID_REFILLS,0
HANDLER_PREPARE,0
HANDLER_READ_FIRST,0
HANDLER_READ_KEY,0
HANDLER_READ_LAST,0
HANDLER_READ_NEXT,0
HANDLER_READ_PREV,0
HANDLER_READ_RETRY,0
HANDLER_READ_RND,0
HANDLER_READ_RND_DELETED,0
HANDLER_READ_RND_NEXT,606
HANDLER_ROLLBACK,3
HANDLER_SAVEPOINT,0
HANDLER_SAVEPOINT_ROLLBACK,0
HANDLER_TMP_DELETE,0
HANDLER_TMP_UPDATE,0
HANDLER_TMP_WRITE,274
HANDLER_UPDATE,0
HANDLER_WRITE,0
INNODB_ADAPTIVE_HASH_HASH_SEARCHES,0
INNODB_ADAPTIVE_HASH_NON_HASH_SEARCHES,106240976349
INNODB_BACKGROUND_LOG_SYNC,552619
INNODB_BUFFER_POOL_DUMP_STATUS,<blank>
INNODB_BUFFER_POOL_LOAD_STATUS,Buffer pool(s) load completed at 211021 21:04:59
INNODB_BUFFER_POOL_RESIZE_STATUS,<blank>
INNODB_BUFFER_POOL_LOAD_INCOMPLETE,OFF
INNODB_BUFFER_POOL_PAGES_DATA,305806
INNODB_BUFFER_POOL_BYTES_DATA,5021114368
INNODB_BUFFER_POOL_PAGES_DIRTY,13111
INNODB_BUFFER_POOL_BYTES_DIRTY,213573632
INNODB_BUFFER_POOL_PAGES_FLUSHED,6623554
INNODB_BUFFER_POOL_PAGES_FREE,1
INNODB_BUFFER_POOL_PAGES_MADE_NOT_YOUNG,8059866923
INNODB_BUFFER_POOL_PAGES_MADE_YOUNG,244292241
INNODB_BUFFER_POOL_PAGES_MISC,663
INNODB_BUFFER_POOL_PAGES_OLD,112865
INNODB_BUFFER_POOL_PAGES_TOTAL,306470
INNODB_BUFFER_POOL_PAGES_LRU_FLUSHED,4902730
INNODB_BUFFER_POOL_READ_AHEAD_RND,0
INNODB_BUFFER_POOL_READ_AHEAD,7793
INNODB_BUFFER_POOL_READ_AHEAD_EVICTED,99066
INNODB_BUFFER_POOL_READ_REQUESTS,556770407066
INNODB_BUFFER_POOL_READS,161934222
INNODB_BUFFER_POOL_WAIT_FREE,175054
INNODB_BUFFER_POOL_WRITE_REQUESTS,861437371
INNODB_CHECKPOINT_AGE,1101099876
INNODB_CHECKPOINT_MAX_AGE,1738752308
INNODB_DATA_FSYNCS,3163163
INNODB_DATA_PENDING_FSYNCS,0
INNODB_DATA_PENDING_READS,0
INNODB_DATA_PENDING_WRITES,0
INNODB_DATA_READ,2608552493056
INNODB_DATA_READS,162055243
INNODB_DATA_WRITES,59385445
INNODB_DATA_WRITTEN,106547743386
INNODB_DBLWR_PAGES_WRITTEN,3435162
INNODB_DBLWR_WRITES,138693
INNODB_DEADLOCKS,2341
INNODB_HISTORY_LIST_LENGTH,195
INNODB_IBUF_DISCARDED_DELETE_MARKS,1283
INNODB_IBUF_DISCARDED_DELETES,1234
INNODB_IBUF_DISCARDED_INSERTS,25522
INNODB_IBUF_FREE_LIST,199513
INNODB_IBUF_MERGED_DELETE_MARKS,1503250
INNODB_IBUF_MERGED_DELETES,742515
INNODB_IBUF_MERGED_INSERTS,1263721
INNODB_IBUF_MERGES,259763
INNODB_IBUF_SEGMENT_SIZE,200388
INNODB_IBUF_SIZE,874
INNODB_LOG_WAITS,0
INNODB_LOG_WRITE_REQUESTS,15902521
INNODB_LOG_WRITES,52598709
INNODB_LSN_CURRENT,29891170725458
INNODB_LSN_FLUSHED,29891170498549
INNODB_LSN_LAST_CHECKPOINT,29890069625582
INNODB_MASTER_THREAD_ACTIVE_LOOPS,552431
INNODB_MASTER_THREAD_IDLE_LOOPS,189
INNODB_MAX_TRX_ID,22456682899
INNODB_MEM_ADAPTIVE_HASH,0
INNODB_MEM_DICTIONARY,297951528
INNODB_OS_LOG_FSYNCS,754473
INNODB_OS_LOG_PENDING_FSYNCS,0
INNODB_OS_LOG_PENDING_WRITES,0
INNODB_OS_LOG_WRITTEN,271714000896
INNODB_PAGE_SIZE,16384
INNODB_PAGES_CREATED,4697107
INNODB_PAGES_READ,161941337
INNODB_PAGES_WRITTEN,6623554
INNODB_ROW_LOCK_CURRENT_WAITS,0
INNODB_ROW_LOCK_TIME,913203
INNODB_ROW_LOCK_TIME_AVG,30
INNODB_ROW_LOCK_TIME_MAX,6933
INNODB_ROW_LOCK_WAITS,29809
INNODB_ROWS_DELETED,10542365
INNODB_ROWS_INSERTED,66351780
INNODB_ROWS_READ,1614535238318
INNODB_ROWS_UPDATED,31421625
INNODB_SYSTEM_ROWS_DELETED,0
INNODB_SYSTEM_ROWS_INSERTED,0
INNODB_SYSTEM_ROWS_READ,0
INNODB_SYSTEM_ROWS_UPDATED,0
INNODB_NUM_OPEN_FILES,49485
INNODB_TRUNCATED_STATUS_WRITES,0
INNODB_AVAILABLE_UNDO_LOGS,128
INNODB_UNDO_TRUNCATIONS,0
INNODB_PAGE_COMPRESSION_SAVED,0
INNODB_NUM_INDEX_PAGES_WRITTEN,0
INNODB_NUM_NON_INDEX_PAGES_WRITTEN,0
INNODB_NUM_PAGES_PAGE_COMPRESSED,0
INNODB_NUM_PAGE_COMPRESSED_TRIM_OP,0
INNODB_NUM_PAGES_PAGE_DECOMPRESSED,0
INNODB_NUM_PAGES_PAGE_COMPRESSION_ERROR,0
INNODB_NUM_PAGES_ENCRYPTED,0
INNODB_NUM_PAGES_DECRYPTED,0
INNODB_HAVE_LZ4,OFF
INNODB_HAVE_LZO,OFF
INNODB_HAVE_LZMA,ON
INNODB_HAVE_BZIP2,OFF
INNODB_HAVE_SNAPPY,OFF
INNODB_HAVE_PUNCH_HOLE,ON
INNODB_DEFRAGMENT_COMPRESSION_FAILURES,0
INNODB_DEFRAGMENT_FAILURES,0
INNODB_DEFRAGMENT_COUNT,0
INNODB_INSTANT_ALTER_COLUMN,84
INNODB_ONLINEDDL_ROWLOG_ROWS,0
INNODB_ONLINEDDL_ROWLOG_PCT_USED,0
INNODB_ONLINEDDL_PCT_PROGRESS,0
INNODB_SECONDARY_INDEX_TRIGGERED_CLUSTER_READS,72372457880
INNODB_SECONDARY_INDEX_TRIGGERED_CLUSTER_READS_AVOIDED,0
INNODB_ENCRYPTION_ROTATION_PAGES_READ_FROM_CACHE,0
INNODB_ENCRYPTION_ROTATION_PAGES_READ_FROM_DISK,0
INNODB_ENCRYPTION_ROTATION_PAGES_MODIFIED,0
INNODB_ENCRYPTION_ROTATION_PAGES_FLUSHED,0
INNODB_ENCRYPTION_ROTATION_ESTIMATED_IOPS,0
INNODB_ENCRYPTION_KEY_ROTATION_LIST_LENGTH,0
INNODB_ENCRYPTION_N_MERGE_BLOCKS_ENCRYPTED,0
INNODB_ENCRYPTION_N_MERGE_BLOCKS_DECRYPTED,0
INNODB_ENCRYPTION_N_ROWLOG_BLOCKS_ENCRYPTED,0
INNODB_ENCRYPTION_N_ROWLOG_BLOCKS_DECRYPTED,0
INNODB_ENCRYPTION_N_TEMP_BLOCKS_ENCRYPTED,0
INNODB_ENCRYPTION_N_TEMP_BLOCKS_DECRYPTED,0
INNODB_ENCRYPTION_NUM_KEY_REQUESTS,0
KEY_BLOCKS_NOT_FLUSHED,0
KEY_BLOCKS_UNUSED,1295169
KEY_BLOCKS_USED,498684
KEY_BLOCKS_WARM,135979
KEY_READ_REQUESTS,11493505849
KEY_READS,3084510
