id,faculty_id,type,title,year,nameofpublisher
14,1,Published,Study and analysis of low cost housing based on construction techniques,2016,IJRET: International Journal of Research in Engineering and Technology (IJRET)
15,1,Published,Hot ice crystal sheet for fire control in high rise buildings,2016,"International Journal of Advanced Engineering Research and Science (IJAERS), Impact Factor: 4.072(SJIF)"
16,1,Published,Concrete Productivity And Performance Comparison Of Pumped Concrete For High Rise Structure,2016,International Journal of Recent and Innovation Trends in Computing and Communication (IJRITCC) Impact Factor: 5.837
17,1,Published,Acceptance criteria for precast concrete,2016,International Journal of Application or Innovation in Engineering & Management (IJAIEM)
18,1,Published,Effect of height on pumped concrete placing at highrise structures,2016,International Research Journal of Engineering and Technology (IRJET) e- Pp 80-82 Impact Factor: 4.45(SJIF)
19,1,Published,Controlled Execution of Demolition work for Residential Building,2016,"International Journal of Engineering Technology, Management and Applied Sciences (IJETMAS)"
20,1,Published,Effects of schedule acceleration on construction performance,2016,"International Journal of Research in Engineering and Applied Sciences (IJREAS), PP 21-29, IMPACT FACTOR – 6.573"
21,2,<blank>,NIL,<blank>,<blank>
22,3,Published,Case Study: Construction Management Approach towards the Repair & Maintenance of Industrial Building,2018,Industrial Practices In Civil Engineering-2041
23,3,Published,A Case-Study: Effective Implementation of Quality Control System in Building Construction,2018,Industrial Practices In Civil Engineering-2042
24,3,Published,Development of Fabrication Material for Low Cost Housing Using Sisal Fiber Composite: Review Paper,2018,Industrial Practices In Civil Engineering-2043
25,3,Published,Hydraulic Conductivity of Soil Using Guelph Permeameter,2018,Industrial Practices In Civil Engineering-2044
26,3,Published,Variability in Deflection of Reinforced Concrete Beams,2018,Industrial Practices In Civil Engineering-2045
27,3,Published,Analysis of causes of Wastages of Construction Materials on Building Construction Site,2018,Industrial Practices In Civil Engineering-2046
28,3,Published,A Study of Material Management System in Construction Industry,2018,Industrial Practices In Civil Engineering-2047
29,3,Published,Reduction of Wastage Construction Material during Execution Phase,2018,Industrial Practices In Civil Engineering-2048
30,4,Published,Geology Aspects in Civil Structure Construction,2018,International Journal of Engineering and Technology
31,4,Published,India Needs Inter Basin Water Transfer,2018,International Research Journal of Engineering and Technology
32,4,Published,A Need of Conjunctive use of Surface and Ground Water,2018,Techno-Societal COEP
33,5,Published,Using Waste Construction Material in paving blocks with Coir Fibre,2018,"International Journal of Innovative Research in Science, Engineering and Technology"
34,5,Published,Addition of Waste Construction Material in Paver Block with Coir Fibre,2018,International Journal for Scientific Research & Development
35,6,Published,Review on Study of Causes And Impact Of Rework on Construction Project,2018,International Journal of Engineering Sciences & Research Technology
36,6,Published,Review on Construction Project Management Software PRIMAVERA P7,2018,International Journal of Engineering Sciences & Research Technology
37,6,Published,An Application of Value Engineering To Industrial Project,2017,International Journal of Recent Scientific Research
38,6,Published,Implementatation Of Building Information Modelling For Commercial Building Project,2017,International Journal of Recent Scientific Research
39,6,Published,Application of Total Quality Management And Reward (TQMR) for Commercial Project,2017,International Journal of Engineering Sciences & Research Technology
40,6,Published,Pre-design Construction Cost Prediction Of Building Projects using Artificail Neural Network,2017,International Journal of Engineering Sciences & Research Technology
41,6,Published,Analysis of Critical Success Factor in application of DRYWALL Technique in Construction Industry,2015, International Journal on Recent and innovation trends in computing and communication.
42,6,Published,Planning & Scheduling in Construction Through Model Approach,2015, International Journal on Recent and innovation trends in computing and communication.
43,6,Published,Analysis of Factor affecting Human Resouce Management of construction firms and probable solution for the remedy of issues :Towrds Successful Complition ,2018,International Journal of Advanced Research in Education & Technology
44,7,NIL,NIL,NIL,NIL
45,8,Published,Flexural Strength of Concrete Using Tor Steel Reinforcement Fibers,2017,Elsevier- Materials Today Proceedings
46,8,Published,Assessment of procurement parameters for a construction project,2014,International Journal on Recent and innovation trends in computing and communication.
47,8,Published,Flexural Strength of Concrete Using Torque Steel Reinforcement Fiber,2016,Perspectives in Science
48,8,Published,Technical assessment on performance of partial replacement of coarse aggregate by steel slag in concrete,2015,International Journal of Engineering trends and Technology
49,8,Published,Improvement of index properties of soil using industrial waste (Spent wash),2015,International Journal for Science & Advance Research in Technology
50,8,Published,Evaluation of procurement parameters for a construction industry in optimal setting,2015,International Journal of Engineering and Innovative Technology
51,8,Published,Technical and economical assessment of replacement of coarse aggregate by waste tyre rubber in construction,2015,International Journal on Recent and Innovation Trends in Computing and Communication
52,8,Published,Use of waste torque steel as fiber reinforcement in construction of grade slab,2015,International Journal of Environmental Technology and Management
53,8,Published,Use of android tool for quality construction,2015,International Journal of Technical Research and Applications?
54,8,Published,Cost analysis of green building,2015,International Journal of Scientific and Engineering Research
55,8,Published,Evaluation of green building with recourses and cost aspects,2015,International Journal on Recent and Innovation Trends in Computing and Communication
56,8,Presented,Presented on “Flexural Strength of Torque Steel Reinforcement Concrete,2016,International Conference on Recent Trends in Engineering and Material Science
57,8,<blank>,ASSESSMENT OF ABRASION RESISTANCE OF CONCRETE PAVEMENT FOR DURABILITY,2018,International Journal of Civil Engineering and Technology
58,9,Published,"Study of Groundwater Level Profile In An Unconfined Aquifer: Case Study Of Nagpur Urban Area, Central India",2012,International Journal of Civil Engineering
59,9,Published,Water Quality Status of Mula-Mutha River,2014,Global Journal for Research Analysis
60,9,Published,"Study of Various Hydrogeological Parameters and its Influence on Groundwater Level Fluctuation in a Hard rock Terrain-A Case Study of Wagholi, Pune, India’",2015,International Journal of Innovative and Engineering Research in Engineering
61,9,Published,Feasibility of Use of Wastewater in R.C.C.- A sustainable Approach,2015,International Journal of Engineering Research-Online
62,10,Published,Solar Roof Top Electricity - A Sustainable Technique,2014,International Journal of Scientific Research
63,10,Published,Reactive Powder Concrete Using Fly Ash,2015,International Journal on Emerging Trends in Technology
64,11,Published,FEA of FRP bridge deck structures,2013,International Journal of Engineering and Science Invention
65,11,Published,response of steel deck bridge under influence of moving load using FRP,2016,International Journal of Engineering Science and Computing
66,11,Published,dynamic analysis of RCC frame structures subjected to blast loading without infilled wall in Multistorey building,2016,International Journal of Computer Engineering and Technology
67,11,Published,study of plan irregularity inducing accidental torsional moment of multistorey building using staad pro,2016,International Journal of Computer Engineering and Technology
68,11,Published,Reduction of Chemical Oxygen Demand by using Coconut Shell Activated Carbon and Sugarcane Bagasse Fly Ash,2015,International Journal of Science and Research (IJSR)
69,12,Published,Need for igbc rating system for,2014,International Journal of Application or Innovation in Engineering & Management (IJAIEM)
70,12,Presented,Aspects of Self Sufficient and Energy Efficient Urban Residential Building,2015,Technical Paper in a PG National Conference- Proceedings of the Civil Engineering PG Conference
71,12,Published,Water Efficiency using water fixtures in residential buildings- A case study in Pune City,2018,Industrial Practices In Civil Engineering-2048
72,13,Presented,Study on Performance on Force Based Design Vs Displacement Based Design In Evaluating Seismic Demand on Regular RCC Structure,2018,Industrial Practices In Civil Engineering-2048
73,13,Published,Review paper on hydraulic conductivity of soil using,2018,Industrial Practices In Civil Engineering-2343
74,13,Presented,Review paper on investigation and replairing of damage surface,2018,Industrial Practices In Civil Engineering-2344
75,14,Published,Geology of western dharwar carton ,2015,"National Conference on Innovations in Engineering, Science and Technology"
76,15,NIL,NIL,NIL,NIL
77,16,Presented,State of the art report on self compacting concrete and glass fiber reinforced self compacting concrete,2015,"TACE 2015, DY, PATIL College of engg."
78,16,Published,Flexural behaviour of self compacting concrete with and without anticrack high dispersion glass fibers ,2015,?Indian Institute of Management Jammu
79,16,Published,Effect of anti crack high dispersion glass fiber on split tensile strength of self compacting concrete ,2015,International Journal for Scientific Research & Development?
80,17,Published,Study The Effect Of Addition Of Silica Fume On Properties Of High Performance Concrete,2014,International Journal of Engineering Research & Technology
81,17,Published,Experimental Study On High Performance Concrete,2014,"International journal of electronics, communication and soft computing science and engineering"
82,17,Published,Impact Of Quality Supervision On Rework In Indian Construction Industry,2014,International Journal of Engineering Research & Technology
83,18,Published,Review Paper on “Shake Table Testing of Seismically Restrained Masonry Parapets,2018,Journal of Advances and Scholarly Researches in Allied Education
84,18,Published,REVIEW PAPER ON “BUBBLE DECK SLAB”,2018,Journal of Advances and Scholarly Researches in Allied Education
85,18,Published,REVIEW PAPER ON “Structural analysis of multi-storey steel frames exposed to travelling fire & traditional design fires”,2018,Journal of Advances and Scholarly Researches in Allied Education
86,18,Published,Review on Experimental Study of HPC using tertiary blends of GGBS and Metakaoline,2018,Journal of Advances and Scholarly Researches in Allied Education
87,18,Published,Evaluation of Response Reduction Factor for Flat Slab Structures,2018,Journal of Advances and Scholarly Researches in Allied Education
88,18,Published,REVIEW ON STUDIES OF PARTIALLY REPLACEMENT CONCRETE USING ALUMINIUM DROSS,2018,Journal of Advances and Scholarly Researches in Allied Education
89,18,Published,Performance Based Seismic Design of Reinforced Concrete Building by Non-linear Static Analysis,2018,Journal of Advances and Scholarly Researches in Allied Education
90,18,Published,A Numerical Study Of Behaviour Of Retaining Wall During Liquefaction Of Soil,2018,Journal of Advances and Scholarly Researches in Allied Education
91,18,Published,Structural Optimization of Reinforced Concrete Structures,2016,International Journal of Engineering Research & Technology
92,18,Published,Shape effects on the wind induced response of high rise buildings,2016,International Journal of Core Engineering and Management
93,19,Published,"Review Paper on ""Tuned Mass Dumper",2018,Industrial Practices In Civil Engineering-2359
94,19,Published,Review paper on control of corrosion of underwater pipes,2018,Industrial Practices In Civil Engineering-2359
95,20,NIL,NIL,NIL,NIL
96,21,Published,REVIEW PAPER ON “Sesmic Retrofitting Of Bridges”,2018,Industrial Practices In Civil Engineering-2339
97,21,Published,REVIEW PAPER ON “GREEN BUILDING BY SUPERADOBE TECHNOLOGY”,2018,Industrial Practices In Civil Engineering-2339
98,21,Published,STUDY OF ENGINEERING PROPERTIES OF ROCK SAMPLES FOR DEVELOPING EARLY WARNING SYSTEM,2015,International Journal of Advanced Technology in Engineering and Science
99,22,Published,Prediction of blast loading and its impact on building,2014,"International Journal of Latest Technology in Engineering, Management & Applied Science"
100,22,Published,Cold form sections as secondary framing,2014,"International Journal of Latest Technology in Engineering, Management & Applied Science"
101,22,Published,Advantages Of Castellated Beams Over Rolled Steel Beams,2014,"International conferenceon science and Technology,ICST-2K14"
102,22,Published,Reliablity analysis of PSC Bridge Girder,2014,"International conferenceon science and Technology,ICST-2K14"
103,22,Published,Non Destructive Test:Steel Fiber Reinforced Concrete With Metakaolin,2014,"International conference on Recent Advances in Science,Engineering and Technology"
104,22,Published,Effect Of Steel fibre And Metakaolin On Plain Cement Concrete,2014,"International conference on Advances in Civil,Structural, and Mechanical Engineering (ICCSME)"
105,23,Published,Cost Control In Construction Project (Peer Review),2014,International Journal of Advanced Engineering Research and Studies (IJAERS)
106,23,Published,Cost Control In Construction Project (Research),2014,International Journal of Advanced Engineering Research and Studies (IJAERS)
107,24,Published,Assessment of Purification of Water by Using Natural Herbs,2012,Lokavishkar International E-Journal
108,24,Presented,Application of natural coagulants in water purification,2013,International Journal of Advanced Technology in Civil Engineering
109,24,Presented,Utilization of natural coagulants in purification of water,2013,National Conference on Recent Trends in science Technology
110,24,Presented,An Overview: Water Distribution Network by Using Water GEMS Software,2018,Journal of Advances and Scholarly Researches in Allied Education
111,25,Published,Study of latest construction techniques and materials used for the construction of Juhu Aerodrome,2018,Industrial Practices In Civil Engineering-2029
112,25,Published,Study on Compressive Strength and Flexural Strength of Nominal Concrete and Tripple Blend Concrete,2018,Industrial Practices In Civil Engineering-2029
113,25,Published,Strategy to make ICOER-A building carbon neutral,2018,Industrial Practices In Civil Engineering-2029
114,26,Published,WATER DISTRIBUTION IN MAWADI PIMPRI,2018,Industrial Practices In Civil Engineering-2158
115,26,Published,RECYCLING OF SOLID WASTES INTO ORGANIC FERTILIZERS \nUSING LOW COST TREATMENT: VERMICOMPOSTING,2015, International Journal of Innovations in Engineering Research and Technology
116,26,Published,An Overview: Feasibility of Earthworm Species for Organic Waste,2018,Journal of Advances and Scholarly Researches in Allied Education
117,26,Published,Performance Evaluation of Vermicomposting Pit by using Different Types of Solid Waste,2017,International Journal for Scientific Research & Development
118,27,NIL,NIL,NIL,NIL
119,28,Published,Experimental Study on Bricks by Using Demolished Construction Material,2018,Journal of Advances and Scholarly Researches in Allied Education
120,29,Published,RCC Box Culvert - Design and Analysis by Stadd Pro,2018,Journal of Advances and Scholarly Researches in Allied Education
121,29,Published,Estimation of modulus of elasticity of Sand using plate load test,2015,American journal of Engineering Research
122,29,Published,Retrofitting Strategies For Earthquake Safe Existing Reinforced Concrete Building: an Overview,2018,Journal of Advances and Scholarly Researches in Allied Education
123,29,Published,Investigation of Ferro Cement Composite Beam Under Flexure,2018,Journal of Advances and Scholarly Researches in Allied Education
124,29,Published,Seismic Response of R.C. Structures With Different Steel Bracing Systems Considering Soil - Structure Interaction,2018,Journal of Advances and Scholarly Researches in Allied Education
125,30,Published,Mechanical properties of steel fiber reinforced geopoloymer concrete,2015,International Journal of Research in Advent Technology
126,30,Published,Properties of polypropylene fiber reinforced geopolymer,2015,International Journal of Computer Engineering and Technology
127,31,-,NIL,NIL,NIL
128,32,Published,Kinetics of Water Disinfection with Azardirachtra Indica (Neem) leaf powder,2015,Chrome Publishing
129,32,Published,A Potential of Phytodisinfectants in Water Treatment in Rural India: A Review,2015,Chrome Publishing
130,32,Presented,Eco Technology for solid Waste Management,2019,Advance in Engg.& Management
131,33,Published,Effective Use of Safety and Emergency Management Model on Construction Sites,2016,International Journal for Research in Applied Science and Engineering Technology
132,33,Published,Minimization of rates of accidents on construction site by effective saftey model,2016,International Journal For Research In Technological Studies
133,33,Presented,Potential of human urine as a fertilizer in comparision with man-made fertilizers - A Review,2016,"INTERNATIONAL CONFERENCE ON ENERGY, ENVIRONMENT AND ENGINEERING"
134,33,Published,Experimental Evaluation Shear Strength of Steel Fibre Reinforced Concrete Deep Beam,2016,INTERNATIONAL JOURNAL OF ENGINEERING RESEARCH & TECHNOLOGY
149,39,Presented/Published,A Technique to Find Optimal Location For Wavelet Based Image Watermarking Using Genetic Algorithm,2012,MGV
150,39,Presented/Published,Enhancing The Optimal Robust Watermarking Algorithm to High Payload,2014,IAJIT
151,39,Presented/Published,Optimal Image Watermarking using Hybrid Optimization Algorithm,2015,IJCVIM
152,39,Presented/Published,Smart Locking and Unlocking System for ATM Trunk,2019,"International Journal of Research in Engineering, Science and Management"
153,40,<blank>,NIL,<blank>,<blank>
154,41,<blank>,NIL,<blank>,<blank>
155,42,Presented/Published,Performance Based Analysis and Comparison of Multi-Algorithmic Clustering Techniques,May 2012,IJCA
156,42,Presented/Published,Password Authentication Key Exchange By Two Server Password Only,2014,IJRDET
157,42,Presented/Published,Detection and Prevention of Attacks in MANET,2015,IJARCSSE
158,42,Presented/Published,Efficient Clustering of Text Documents for Feature Selection on the use of side Information,2015,IJCSE
159,42,Presented/Published,Efficient Prediction of Heart Disease using Fuzzy Clustering on Medical Data,2015,IJARCSSE
160,42,Presented/Published,Effective Prediction of Heart Disease by Fuzzy Clustering on Medical Data,2014,IJSER
161,42,Presented/Published,A Review: Comparison of Text Documents for feature selection on the use of side information\n  with data miningtechniques,2015,IJETCR
162,42,Presented/Published,Network Traffic Optimization For Performance Improvement In\n  The Web Service Infrastructures By Categorization Of The Web Contents\n  With Size Reduction Approach,2014,IJARIET
163,42,Presented/Published,A System to clarify unwanted messages from OSN user surface.,2015,IJSER
164,42,Presented/Published,Clarification of Undesired messages from OSN User surface.,2015,IJCA
165,42,Presented/Published,Sentiment Analysis by Visual Inspection of User Data from Social Sites: A Review on Opinion Mining,Dec. 2014,IJSR
166,42,Presented/Published,Implementation of Multi-Level Trust in Privacy Preserving Data Mining against Non-Linear Attack,April 2015,IJCA
167,42,Presented/Published,Implementation of Multi-Level Trust in Privacy Preserving Data Mining against Non-Linear Attack,Auguest 2014,IJRITCC
168,42,Presented/Published,A Survey Paper on Improved Method for Privacy Preserving Data Mining Considering Linear & Non-Linear Attack,July 2014,IJETCR
169,42,Presented/Published,A Review of Role based Encryption System for Secure Cloud Storage,2015,IJCA
170,42,Presented/Published,Sentiment Analysis by Visual Inspection of User Data from Social Sites-A Review on Opinion Mining,2012,IJSR
171,42,Presented/Published,"Increasing Flexibility, Scalability and Efficiency in Cloud using Hierarchy",2015,<blank>
172,42,Presented/Published,Efficient Personalized Privacy Preservation Using Anonymization,2016,IRJET
173,42,Presented/Published,Size based Multithreaded Scheduler for Hadoop Framework,2015,IJCA
174,42,Presented/Published,Twitter Blogs Mining using Supervised Algorithm,2015,IJCA
175,42,Presented/Published,Product Feature-based Ratings forOpinionSummarization of E-Commerce Feedback Comments,2016,IJCA
176,42,Presented/Published,A Combined Approach to DoS Attack Detection System,2015,IJCA
177,42,Presented/Published,Short Term Load Calculating for Smart Meter Data using Weighted KNN for Classification & Prediction,2014,IJRITCC
178,42,Presented/Published,An Improved the Optimal Distributed Dummy Signature for Malicious Software in Mobile Network,2015,IJCA
179,42,Presented/Published,Online Cost Sensitive Domain Knowledge Adaption,2015,IJCA
180,42,Presented/Published,A Survey on Privacy Preserving and Content Protecting Location Based Queries,2014,IJRITCC
181,43,Presented/Published,A Survey of Search Algorithms for Complex Networks,Nov. 2014,IJARCSMS
182,43,Presented/Published,Big Data Mining using Map Reduce: A Survey Paper,2014,IOSR-JCE
183,43,Presented/Published,A novel Approch for Interlingual example - based translation of \n  English to Marathi,2014,IJETAE
184,43,Presented/Published,Semantically Secure Encrypted Relational Data In Cloud Using C4. 5 Classification,2016,IRJET
185,43,Presented/Published,Improving Performace of System using ECC and Detection of Selfish Node Attack using Aodv Protocol,2016,IJCET
186,43,Presented/Published,Feature Evolving Data Streams using SVM Kernel in the Multi Novel Class Detection,2015,IJCA
187,43,Presented/Published,Multinovel Class Detection in the Data Stream Classification by using SVM,2015,IJCA
188,43,Presented/Published,Secured Authorized De-duplication Based Hybrid Cloud Approach,2014,IJARCSSE
189,43,Presented/Published,WEBSITE STRUCTURE IMPROVEMENT BY USING TAILORING METHOD,2015,IRJET
190,43,Presented/Published,CS-SVDD Based Outlier Detection for Imperfectly Labeled Data,2014,IJCET
191,43,Presented/Published,A novel Approch for Interlingual example-based translation of English to Marathi,2014,IJETAE
192,43,Presented/Published,Survey on Categorization and Detection of Adaptive Novel Class of Feature Evolving Data Streams,2012,IJSR
193,43,Presented/Published,Survey on K-Nearest Neighbor Categorization over Semantically Protected Encrypted Relational Information,2013,IJSR
194,43,Presented/Published,Categorization and Detection of Adaptive Novel Class of Feature Evolving Data Streams,2014,IJAERS
195,43,Presented/Published,NETWORK INTRUSION DETECTION SYSTEM USING HYBRID CLASSIFICATION MODEL,2015,IJSETR
196,43,Presented/Published,Unsupervised Distance-Based Outlier Detection Using Nearest Neighbours Algorithm on Distributed Approach: Survey,2014,IJIRCCE
197,43,Presented/Published,Overview of Improving Robustness of MAODV Protocol by Combining Tree and Mesh Structures,2015,IOSR-JCE
198,43,Presented/Published,A Survey on Balancing the Network Load Using Geographic Hash Tables,2015,IOSR-JCE
199,43,Presented/Published,SECURING HEALTH CARE DATA IN COLLABORATIVE DATA PUBLISHING USING MAPREDUCE FRAMEWORK,2015,IJRET
200,43,Presented/Published,DATA MINING FOR MALICIOUS CODE DETECTION SYSTEM,2015,MJRET
201,43,Presented/Published,Outlier Detection using Semi-supervised and Unsupervised Learning on High Dimensional Data,2015,IJCA
202,43,Presented/Published,A Survey: A Flexible Approach to Instant-Fuzzy Search Using Effective Phrase Indexing and Segmentation with Proximity Rankin,2015,IJERGS
203,43,Presented/Published,Providing The Security Against The DDOS Attack In Mobile Ad Hoc Networks,2015,IOSR-JCE
204,43,Presented/Published,Improving Robustness of MAODV Protocol by Combining Tree and Mesh Structures,2015,IJCA
205,43,Presented/Published,An Instant-Fuzzy Search Using Phrase Indexing and Segmentation with Proximity Ranking,2015,IJERGS
206,43,Presented/Published,The Detail Survey of Anomaly/Outlier Detection Methods in Data Mining,2015,IJMCR
207,43,Presented/Published,DATA MINING FOR MALICIOUS CODE DETECTION AND SECURITY SYSTEM APPLICATION,2015,IJERGS
208,43,Presented/Published,Survey on Accident Detection using smartphone sensors and rescue System\n,2019,IJARIIE
209,44,Presented/Published,Ids Using Contigeous And Discontigeous System Call Pattern,2014,ICST
210,44,Presented/Published,IoT Based Self Organizing Approach of Multiple Robots(Swarm Robotics),2019,"International Engineering Research Journal (IERJ),"
211,45,Presented/Published,International Refereed Journal of Engineering and Science,"(November 2014),",International Refereed Journal of Engineering and Science
212,45,Presented/Published,SECURE ENERGY EFFICIENT ROUTING IN WIRELESS SENSOR NETWORK,<blank>,Int.J.Computer Technology & Applications1392-1397
213,45,Presented/Published,International Journal on Recent and Innovation Trends in Computing and Communication,<blank>,International Journal on Recent and Innovation Trends in Computing and Communication
214,45,Presented/Published,Survey of Software Fault Localization for Web Application,<blank>,"International Journal of Current Engineering and Technology E-ISSN 2277 – 4106, P-ISSN 2347 – 5161"
215,45,Presented/Published,Efficient Subspace Analysisfor Anomaly Detection,July 2015,"International Journal of Science, Engineering and Technology Research (IJSETR),"
216,45,Presented/Published,International Journal of Applied Engineering Research ? Research India Publications.,2017,International Journal of Applied Engineering Research ? Research India Publications.
217,45,Presented/Published,International Journal of Science and Research,<blank>,(IJSR)
218,45,Presented/Published,International Journal of Advanced Research in Computer Science and Software Engineering,May 2014,<blank>
219,45,Presented/Published,"International Journal of Computer Applications (0975 – 8887) ,",February 2015,<blank>
220,46,Presented/Published,Detection of Unknown Attack and Real Time Clustering for Intrusion Alert Aggregation,Nov. 2014,IJSR
221,46,Presented/Published,A Review on: Implementing Secure Encryption Algorithm for Online Transaction System,2015,IERJ
222,46,Presented/Published,A Survey on Detection Deduplication Encrypted in Cloud,2015,IERJ
223,46,Presented/Published,A System Denial of Service Attack Detection Based on Multivariate Correlation Analysis and Artificial Neural Network,2017,IJIRCCE
224,46,Presented/Published,Resource-Saving File Management Scheme for Online Video Provisioning on Content Delivery Networks,2017,IJRAJ
225,46,Presented/Published,Implementation of Detecting Duplicate File on Cloud Storage Environment,2017,IERJ
226,46,Presented/Published,Implementation Secure Online Payment using Stegano Images,2018,IERJ
227,47,Presented/Published,Personalized Web Directory : A Knowledge Discovery Approach,2013,IJERT
228,48,Presented/Published,Implementation of Multi-Level Trust in Privacy Preserving Data Mining against Non-Linear Attack,April 2015,IJCA
229,48,Presented/Published,Implementation of Multi-Level Trust in Privacy Preserving Data Mining against Non-Linear Attack,Auguest 2014,IJRITCC
230,48,Presented/Published,A Survey Paper on Improved Method for Privacy Preserving Data Mining Considering Linear & Non-Linear Attack,July 2014,IJETCR
231,48,Presented/Published,Automatic Document Clustering Using Machine Learning Approach,2019,"International Journal of Innovative Research in Science, Engineering and Technology"
232,49,Presented/Published,A review paper on Diabete Detection using Genetic Programing,2014,IJCARSMS
233,49,Presented/Published,Diabete Detection using Genetic Programing,2015,IJCA
238,51,Presented/Published,Efficient Clustering of Text Documents for Feature Selection on the use of side Information,2015,IJCSE
239,51,Presented/Published,A Review: Comparison of Text Documents for feature selection on the use of side information\n  with data miningtechniques,2015,IJETCR
240,51,Presented/Published,Network Traffic Optimization For Performance Improvement In\n  The Web Service Infrastructures By Categorization Of The Web Contents With Size Reduction Approach,2014,IJARIET
241,51,Presented/Published,Smart Cloudbased Sharable Health Care System,2019,Journal of Analysis and Computation (JAC)
242,52,Presented/Published,FindingAliases Using Noun Detection Algorithm,2015,IJCA
243,52,Presented/Published,Survey Paper On Natural Language Processing,2014,IJCEA
244,52,Presented/Published,Network Traffic Optimization For Performance Improvement In The Web Service Infrastructures By Categorization Of The Web Contents WithSize Reduction Approach,2014,IJARET
245,52,Presented/Published,Secure And Practical Outsourcing of Linear Programming In Cloud Computing,2013,IJAMTES
246,52,Presented/Published,Survey on Similirity Based Retrival of Trademarks & Logos by Data Similirity,<blank>,International Journal of science and engineering
247,53,Presented/Published,Review Paper on Clustering Based Collaborative Filtering,2014,IJARCSMS
248,53,Presented/Published,Recommending Services using Description Similarity Based Clustering and Collaborative Filtering,2015,IJCA
249,54,Presented/Published,Survey on Scheduling algorithm in Mapreduce framework,2015,IJSETR
250,54,Presented/Published,Good Governance by using Blockchain,<blank>,"International Journal of Research in Engineering, Science and Management"
251,55,Presented/Published,Availability for Efficient audit services in cloud computing.,2013,ICIEA
252,55,Presented/Published,Smart Trolley with Automatic Bill Generation using RFID,2019,IERJ
253,55,Presented/Published,Farmer Advisory System For Crop Cultivation Using Speech Recignition Technology,2019,Journal of Analysis and Computation (JAC)
254,56,Presented/Published,Distributed Database: A Survey,2013,IJCSA
255,56,Presented/Published,Needle less human blood glucose monitoring,<blank>,"International Journal of Research in Engineering, Science and Management"
256,57,Presented/Published,A System to clarify unwanted messages from OSN user surface.,2015,IJSER
257,57,Presented/Published,Clarification of Undesired messages from OSN User surface.,2015,IJCA
258,57,Presented/Published,Survey Paper on My Decision My Privacy,2019,International Journal of Science and Research Technical Education (IJSRTE) – 2018
259,58,Presented/Published,“A Survey on Event Detection and Transmission Protocols in Wireless Sensor Network”,2014,IJARECE
260,58,Presented/Published,"RE3TP: Reliable and Energy Efficient Event Trans-mission Protocol in Event Driven WSN”,",2018,IEEE XPLORE
261,58,Presented/Published,"Detection and Prevention of SQL Injection AttacksUsing Machine Learning Approach”,",2015,IEEE XPLORE
263,60,<blank>,NIL,<blank>,<blank>
264,61,Presented/Published,fuzzy keyword search over encrypted data on cloud computing,2012,IEEE
265,61,Presented/Published,Crowd Sourcing Of Predictor Behavioural Outcomes,2014,IJRCCE
266,61,Presented/Published,user authentication using grid computing,2015,IJRIRCCE
267,61,Presented/Published,Quadcopter For Supporting Disaster,2019,<blank>
268,62,Presented/Published,A Survey on Basics of Cryptography,2017,IJARCCE
269,62,Presented/Published,A New Approach of Cryptographic Technique Using RSA & ECC,2016,IJARCCE
270,62,Presented/Published,Analysis and Implementation of Combined Approach of RSA and ECC Algorithm for Enhanced Data Security,2015,IJCA
271,62,Presented/Published,Review Paper on Behavior of Node in MANET,2015,IJRITCC
272,62,Presented/Published,A Survey On Short Ad Hoc Network,2014,IJERMT
273,62,Presented/Published,Review Paper on Privacy Protection of Database Access with Partial Shuffle,2013,IJCET
274,62,Presented/Published,Deploying Cryptography in Domain Name System: An Overview,2013,IJAIEM
275,63,Published,Analysis and simulation of composite bridge for electrostatic MEMS switch,<blank>,International Journal of Emerging Technology and Advanced Engineering
276,63,Published,RF MEMS Capacitive Shunt Switch: A study based practical overview,<blank>,International Journal of Applied Engineering Research (IJAER) ISSN 0973-4562 UGC Approved Journal
277,63,Published,Impact of Xilinx ISE Design Suite’s MAP and Generate Programming Optimization Settings on FPGAs Bitstream Size,<blank>,Journal of Electronic Design Technology
278,63,Published,"Configuration Bitstream Mapping with pragrammable resources on Spaten 3A FPGA using XDL, FAR",<blank>,International Journal of Engineering and Technology
279,63,Published,Cascading of Compr\nession Algorithm to Reduce Redu\nndancy in FPGAs Configuration \nBitstream A Novel Technique,<blank>,International Journal of Applied Engineering Research ISSN 0973
280,64,<blank>,NIL,<blank>,<blank>
281,65,Published,Programmable Resources on Spartan-3A,2018,"4562 Volume 13, Number 5 (2018) pp."
282,65,Published,FPGA using XDL and FAR,2018,2872
283,65,Published,"Review of Reconfigurable Antennas for LTE, WiMax and WLAN Applications",2017,-
284,65,Published,Sparse Multilinear Laplacian discriminant analysis for gait recognition,2017,2878
285,65,Published,Compact Asymmetric Coplanar Strip Fed Monopole Antenna For Multiband Applications,2015,"International Journal of Innovative Science, Engineering & Technology"
286,65,Published,Vehicle Platooning,2016,International Engineering Research Journal
287,65,Published,T Shaped Fractal Geomerty Based MicroStrip Patch Antenna,2016,International Engineering Research Journal
288,65,Published,A Wireless Surveillance and Safety System for Mine Workers based on ZigBee,2016,International Engineering Research Journal
289,65,Published,Vehicle Control System Implementation Using CAN protocol,2016,International Engineering Research Journal
290,65,Published,A Semi-Autonomous UGV,2015,International Journal of Advanced Research in Computer Engineering & Technology
