id,faculty_id,type,title,year,nameofpublisher
722,145,Presented,2. A review:analysis of high pressure steam turbine rotor,2014,International Journal of Engineering Research & Technology
723,145,Presented,3. Design and analysis of high pressure steam turbine rotor,2014,International Journal of Engineering Research & Technology
724,145,Presented,4. A review on:plenuum bracket used in suv mahindra ,2018,International Journal Of Research In Engineering & Technology
725,146,Published,1. Software Development ( customization) in UG/NX 4.0 for coupling module using knowledge fusion programming,2015,"International Journal of Science, Engineering and Technology Research"
726,146,Published,2. Fatigue life estimation for a circumferential splice joint of aircraft fuselage structure through stress analysis.,2012,International Journal of Engineering Research & Technology
727,146,Published,3. Determination of fatigue life estimation during different pressurized loading.,2013,International Journal of Engineering Research & Technology
728,146,Published,4. Review on design & analysis of tower parking system.,2019,Journal of emerging Technologies and Innovative Research
729,146,Published,5. A Study of mechanical properties of alumimium alloy (lm6) reinforced with siC & flyash,2019,Journal of emerging Technologies and Innovative Research
730,146,Published,6. Vibration control in gear box,2019,Journal of emerging Technologies and Innovative Research
731,147,Published,1. A Review on Reliability Enhancement of Wind Turbine Gear box using Eclipse Drive,2015,International journal of engineering research & technology
732,147,Published,2. Wind Turbine Gear box Reliability Enhancement using Eclipse Drive,2015,"International Journal of Science, Engineering and Technology Research "
733,147,Published,"3. Design, Development & Testing of Eclipse Drive Train for Wind Turbine",2015,"International Journal of Science, Engineering and Technology Research "
734,147,Presented,4. Study of composite as an Alternative material for leaf spring - A Review,2019,Journal of emerging Technologies and Innovative Research
735,147,Presented,5. Development of ecofriendly brake pad using powder of sugarcane waste and banana peels- A Review,2019,Journal of emerging Technologies and Innovative Research
736,147,Presented,6. Design and analysis of kinetic energy recovery system (KERS) in bicycle,2019,Journal of emerging Technologies and Innovative Research
737,147,Presented,7. Crank Based Portable ramming machine by using electrically operated RAM for sand moulding,2019,Journal of emerging Technologies and Innovative Research
738,147,Presented,8. Improve product quality of automotive valve and productivity of semi automatic valve bending machine,2019,Journal of emerging Technologies and Innovative Research
739,147,Presented,9.Review on shape optimization of celing fan blade geometry for static as well as vibration loading,2019,Journal of emerging Technologies and Innovative Research
740,147,Presented,10. Experimental Analysis of Composite Materials,2019,Journal of emerging Technologies and Innovative Research
741,148,Published,1. Experimental Application of Heat Pipes in Hydraulic Oil Cooler,2015,International Journal of Engineering Research & Technology 
742,148,Published,2. Design and Analysis of Hydraulic Oil Cooler by Application of Heat Pipe,2015,"International Journal of Science, Engineering and Technology Research "
743,148,Published,3. Performance analysis of Heat Pipe and a wickless thermosyphon pipe,2019,National Conference on Advancements in Mechanical Engineering and Indutrial Management 2019 NCAMEIM 
744,148,Published,4. Design and Development of Dummy Chrome Using Injection Moulding: Review,2019,National Conference on Advancements in Mechanical Engineering and Indutrial Management 2019 NCAMEIM 
745,148,Published,5. Performance analysis of Heat pipe and thermosyphon (weakless Heat pipe),2019,National Conference on Advancements in Mechanical Engineering and Indutrial Management 2019 NCAMEIM 
746,148,Published,6. Solar Still with Protocatalyst and alternative source for potable water,2019,National Conference on Advancements in Mechanical Engineering and Indutrial Management 2019 NCAMEIM 
747,148,Published,7. Review on performance influencing parameters of solar still,2019,National Conference on Advancements in Mechanical Engineering and Indutrial Management 2019 NCAMEIM 
748,148,Published,8. Experimental Investigation of Twin water jet Impingment on flat surface,2019,National Conference on Advancements in Mechanical Engineering and Indutrial Management 2019 NCAMEIM 
749,149,Published,1.Study of characteristics of linear motor compressor for different clearances between pistons and cylinder,2019,Journal of emerging Technologies and Innovative Research
750,149,Published,"2. Design, Development and Testing of Moving Magnet Compressor",2019,Journal of emerging Technologies and Innovative Research
751,149,Published,3. Design and analysis of mechanical components working at high pressure and high temperature,2019,Journal of emerging Technologies and Innovative Research
752,149,Published,4. Wear Analysis Of Multi-Plate Wet Clutch With Different Friction Materials,2019,Journal of emerging Technologies and Innovative Research
753,149,Published,5. A Study on Sintering Characteristic and Dielectric Properties of Aluminium Nitride Ceramics,2019,Journal of emerging Technologies and Innovative Research
