id,city,name,date,endtime,location,starttime,department,description,event_report,is_completed,active_status,contents_of_workshop
<blank>,Placement Drive of Jaro Education for B.E. students (2020 Batch) on 9th August 2019 .Package offered 12 LPA.,<blank>,2019-08-09,<blank>,<blank>,<blank>,0,Jaro Education for B.E. students (2020 Batch) ,<blank>,<blank>,0,1
<blank>,Placement Drive of “Indocean Maritime Services Pvt. Ltd.” for\r\nB.E. Mechanical Students (2020 Batch) on 12 th August 2019.,<blank>,2019-08-12,<blank>,<blank>,<blank>,0,“Indocean Maritime Services Pvt. Ltd.”,<blank>,<blank>,0,2

