id,faculty_id,title,venue
116,133,Use of CREO in product modelling,"ADYPTC, Pune"
117,134,NIL,Nil
118,135,NIL,Nil
119,136,Recent Trends in Mechanical Engineering,"Government college of engineering, Awasari"
120,137,NIL,Nil
121,138,CFD analysis,"Dhole Patil College of Engineering, Pune"
122,139,NIL,Nil
123,140,NIL,Nil
124,141,Basic Mechanical Engineering,"D.Y.Patil college of engineering, Akrudi"
125,142,NIL,Nil
126,143,NIL,Nil
127,144,NIL,Nil
128,145,NIL,Nil
129,146,NIL,Nil
130,147,NIL,Nil
131,148,NIL,Nil
132,149,NIL,Nil
133,150,NIL,Nil
134,151,Advancements in fluid mechanics,BSIOTR Wagholi Pune
135,152,NIL,Nil
136,153,NIL,Nil
137,154,NIL,Nil
138,155,NIL,Nil
139,156,NIL,Nil
140,157,NIL,Nil
141,158,NIL,Nil
142,159,Project ,SITS Lonawala
143,160,NIL,Nil
145,162,NIL,Nil
147,164,GATE Exam Preparation for Fluid Mechanics,"BSIOTR, WAGHOLI"
148,165,GATE Exam Preparation for Strength of Material,"BSIOTR, WAGHOLI"
149,166,NIL,Nil
150,167,NIL,Nil
151,168,NIL,Nil
152,169,NIL,Nil
153,170,NIL,Nil
155,172,NIL,Nil
156,173,NIL,Nil
157,174,NIL,Nil
158,175,NIL,Nil
159,176,NIL,Nil
160,177,NIL,Nil
161,178,NIL,Nil
162,179,NIL,Nil
163,180,NIL,Nil
164,181,NIL,Nil
165,182,Advanced Metrology,"Dhole Patil College of Engineering, Pune"
166,183,NIL,Nil
167,184,NIL,Nil
168,185,NIL,Nil
169,186,NIL,Nil
170,206,NIL,NIL
171,207,Remote Sensing and its Future Applications,"PVPIT, Budhgaon ( Sangli)"
172,207,Talk on Awareness of Road Safety,"RSP Camp, PULUJ ( Pandharpur) "
173,208,NIL,NIL
174,209,NIL,NIL

